<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-9.21,D,20210625,000000,163140.0000000,164580.0000000,163030.0000000,164240.0000000,324066
SPFB.RTS-9.21,D,20210628,000000,164230.0000000,165280.0000000,163850.0000000,164170.0000000,337399
SPFB.RTS-9.21,D,20210629,000000,164170.0000000,164170.0000000,160560.0000000,161250.0000000,521614
SPFB.RTS-9.21,D,20210630,000000,161300.0000000,163490.0000000,160210.0000000,162800.0000000,656166
SPFB.RTS-9.21,D,20210701,000000,162840.0000000,164850.0000000,162630.0000000,163370.0000000,523249
SPFB.RTS-9.21,D,20210702,000000,163440.0000000,164530.0000000,162170.0000000,164380.0000000,508345
SPFB.RTS-9.21,D,20210705,000000,164290.0000000,164760.0000000,163630.0000000,164610.0000000,298472
SPFB.RTS-9.21,D,20210706,000000,164730.0000000,166240.0000000,161680.0000000,161970.0000000,596253
SPFB.RTS-9.21,D,20210707,000000,161970.0000000,164280.0000000,161250.0000000,162190.0000000,578124
SPFB.RTS-9.21,D,20210708,000000,162110.0000000,162310.0000000,158880.0000000,160990.0000000,693333
SPFB.RTS-9.21,D,20210709,000000,160900.0000000,162540.0000000,160320.0000000,161940.0000000,402509
SPFB.RTS-9.21,D,20210712,000000,161940.0000000,162820.0000000,160360.0000000,162750.0000000,438092
SPFB.RTS-9.21,D,20210713,000000,162760.0000000,163680.0000000,161260.0000000,162500.0000000,522341
SPFB.RTS-9.21,D,20210714,000000,162440.0000000,163550.0000000,161520.0000000,161750.0000000,527045
SPFB.RTS-9.21,D,20210715,000000,161750.0000000,162220.0000000,159860.0000000,160000.0000000,584804
SPFB.RTS-9.21,D,20210716,000000,160090.0000000,161370.0000000,158480.0000000,159300.0000000,544689
SPFB.RTS-9.21,D,20210719,000000,159190.0000000,159190.0000000,154670.0000000,155360.0000000,661748
SPFB.RTS-9.21,D,20210720,000000,155560.0000000,157270.0000000,154700.0000000,156990.0000000,553908
SPFB.RTS-9.21,D,20210721,000000,156900.0000000,158780.0000000,155930.0000000,158670.0000000,521529
SPFB.RTS-9.21,D,20210722,000000,158670.0000000,160300.0000000,158350.0000000,159980.0000000,466676
SPFB.RTS-9.21,D,20210723,000000,160050.0000000,160440.0000000,158490.0000000,159270.0000000,429463
SPFB.RTS-9.21,D,20210726,000000,159160.0000000,160680.0000000,156650.0000000,160500.0000000,527697
SPFB.RTS-9.21,D,20210727,000000,160500.0000000,160730.0000000,158590.0000000,158960.0000000,487692
SPFB.RTS-9.21,D,20210728,000000,159060.0000000,161600.0000000,158730.0000000,161590.0000000,503395
SPFB.RTS-9.21,D,20210729,000000,161590.0000000,163540.0000000,161340.0000000,163150.0000000,420848
SPFB.RTS-9.21,D,20210730,000000,163120.0000000,163120.0000000,161410.0000000,162260.0000000,505133
SPFB.RTS-9.21,D,20210802,000000,162240.0000000,163860.0000000,162030.0000000,162230.0000000,446351
SPFB.RTS-9.21,D,20210803,000000,162360.0000000,163940.0000000,161640.0000000,163900.0000000,446576
SPFB.RTS-9.21,D,20210804,000000,163940.0000000,164710.0000000,162810.0000000,163190.0000000,518517
SPFB.RTS-9.21,D,20210805,000000,163330.0000000,164940.0000000,162700.0000000,164760.0000000,378050
SPFB.RTS-9.21,D,20210806,000000,164760.0000000,164890.0000000,162220.0000000,162410.0000000,461532
SPFB.RTS-9.21,D,20210809,000000,162410.0000000,164250.0000000,161610.0000000,163220.0000000,431954
SPFB.RTS-9.21,D,20210810,000000,163250.0000000,164710.0000000,163090.0000000,163970.0000000,401395
SPFB.RTS-9.21,D,20210811,000000,163920.0000000,165940.0000000,163120.0000000,165660.0000000,484863
SPFB.RTS-9.21,D,20210812,000000,165730.0000000,166400.0000000,165170.0000000,165740.0000000,347716
SPFB.RTS-9.21,D,20210813,000000,165670.0000000,166480.0000000,165230.0000000,165840.0000000,319265
SPFB.RTS-9.21,D,20210816,000000,165830.0000000,167090.0000000,164700.0000000,166850.0000000,428845
SPFB.RTS-9.21,D,20210817,000000,166770.0000000,168450.0000000,166140.0000000,167500.0000000,435340
SPFB.RTS-9.21,D,20210818,000000,167500.0000000,169600.0000000,165630.0000000,165790.0000000,508168
SPFB.RTS-9.21,D,20210819,000000,165720.0000000,166020.0000000,162580.0000000,163700.0000000,653629
SPFB.RTS-9.21,D,20210820,000000,163640.0000000,163850.0000000,161330.0000000,162020.0000000,485096
SPFB.RTS-9.21,D,20210823,000000,162140.0000000,164900.0000000,162140.0000000,164700.0000000,318689
SPFB.RTS-9.21,D,20210824,000000,164730.0000000,165990.0000000,164110.0000000,165810.0000000,428916
SPFB.RTS-9.21,D,20210825,000000,165810.0000000,165860.0000000,164180.0000000,164750.0000000,397969
SPFB.RTS-9.21,D,20210826,000000,164740.0000000,164740.0000000,162250.0000000,162820.0000000,469335
SPFB.RTS-9.21,D,20210827,000000,162840.0000000,166400.0000000,162840.0000000,166300.0000000,461221
SPFB.RTS-9.21,D,20210830,000000,166390.0000000,167970.0000000,166310.0000000,167640.0000000,361652
SPFB.RTS-9.21,D,20210831,000000,167570.0000000,168940.0000000,167180.0000000,167970.0000000,467532
SPFB.RTS-9.21,D,20210901,000000,167950.0000000,171970.0000000,167950.0000000,171580.0000000,472370
SPFB.RTS-9.21,D,20210902,000000,171430.0000000,172720.0000000,170800.0000000,171280.0000000,394048
